iter,cluster_nr,p_clust,diff_clust,size_clust,method,target_col,K,N_k,N,y_dgp,x_dgp,d,binary_y,randomize_y,fit_train,n_iter_hbac,min_cluster_size,val_frac,bonf_correct
0,0,10.291918528042212,0.004206730769230782,104,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
0,1,8.120557665867462,0.018896904231345435,87,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
0,2,9.934449624750496,-0.00781909026020372,66,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
0,3,5.4911085427281865,-0.029383986520691185,157,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
0,4,3.365369340432026,0.04889466136320586,127,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
0,5,4.396245140423589,-0.043469007714817764,105,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
0,6,3.1730226628343488,0.08225712623618386,45,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
0,7,8.226772742524405,-0.02212051868802445,57,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
0,8,2.8990705271069253,0.06576086956521737,80,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
0,9,9.44674429619236,0.008457568807339444,128,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
0,10,0.2981061831931427,-0.16612780524914417,44,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
1,0,8.899892276307554,0.016390785136619956,59,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
1,1,3.0552052380132015,0.04880016132284737,145,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
1,2,4.539010475933493,0.07848290067118857,29,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
1,3,5.743012120842391,-0.03638491679812733,86,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
1,4,10.597962561211773,-0.002209456473707516,124,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
1,5,6.856399459238757,0.039268316930112346,42,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
1,6,7.897339946039835,0.01490514905149054,180,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
1,7,1.3517166466469805,-0.07922470722441416,107,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
1,8,1.6079366487548845,-0.06790332231963991,133,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
1,9,1.1611519542508084,0.10284861462591655,66,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
1,10,8.488179021136295,-0.028054973543094552,29,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
2,0,5.543437204188703,-0.03941780398301242,79,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
2,1,9.890731620205981,-0.006466293928067579,109,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
2,2,8.279143465416842,0.013160173160173205,175,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
2,3,3.428557997100111,0.05412009593194267,98,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
2,4,9.187647080576896,-0.012438265959392736,77,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
2,5,8.405404064910561,-0.02143810643342431,53,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
2,6,8.697245459916994,0.015171970427515225,85,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
2,7,3.428557997100111,0.05412009593194267,98,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
2,8,0.29320307794124173,-0.14169337606837606,64,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
2,9,3.428557997100111,0.05412009593194267,98,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
2,10,4.074876589412366,-0.05822649572649574,64,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
3,0,8.877788370215905,-0.014605113196662523,77,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
3,1,10.548684046228802,0.0024386119491985325,129,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
3,2,5.247129410539181,-0.0485394245552383,58,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
